Include in Dashboard?,Include in Dashboard? (Initial Decision),Decision Tree Group,Data Needed,Maximal List Name,"Reservoir Label not including ""Lake/Reservoir"" (typically equivalent to Maximal List Name)","Reservoir Label including ""Lake/Reservoir"" (typically equivalent to EAR Asset Name)","Dam Label, including Dam",Preferred Label for Map and Table,Preferred Label for PopUp and Modal,In Reservoir Conditions Visualization?,EAR OBJECTID,EAR Asset Class,EAR Asset Name,Reservoir/Lake/Pool Name Simplified,EAR Asset Type,EAR Dam Facility Name,EAR Dams Asset ID,EAR Dams Simplified Dam Name,EAR Project,EAR Interior Region,EAR Managing Region,EAR Reservoir Function,EAR Total Capacity,EAR Original Completion Date,RISE Location ID,RISE Location Name,RISE Region,RISE Reservoir Name,RISE Dam Name,Has Storage in RISE?,RISE Item ID for storage,RISE Storage Start Date,RISE Storage End Date,RISE Number of Results,Start Date Before 10/1/1990?,End Date After 9/30/2020?,Has  Storage for Full Averaging Period?,Completion Year Before 1990?,Completion Year Before Start Date of Storage Data?,Notes
Include,Include,Group A,,Marys,Marys,Marys Lake,Marys Lake Dikes,,,FALSE,266,Reservoirs,Marys Lake,Marys,Reservoir,Marys Lake Dikes,361,Marys Lake Dikes,0245-Colorado-Big Thompson Project,7-Upper Colorado Basin,MB/ART,Conveyance (used for water conveyance),927,"1,949",1,Marys Lake,Missouri Basin,Marys,#N/A,Y,4222,5/1/86,12/16/25,12033,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,McGee Creek,McGee Creek,McGee Creek Reservoir,McGee Creek Dam,,,TRUE,269,Reservoirs,McGee Creek Reservoir,McGee Creek,Reservoir,Mcgee Creek Dam,365,McGee Creek,1283-McGee Creek Project,6-Arkansas-Rio Grande-Texas Gulf,MB/ART,Instream Storage,"199,276","1,987",408,Mcgee Creek Reservoir and Dam,Arkansas-Rio Grande-Texas-Gulf,Mcgee Creek,Mcgee Creek,Y,563,4/1/87,12/16/25,13848,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,McPhee,McPhee,McPhee Reservoir,McPhee Dam,,,TRUE,271,Reservoirs,McPhee Reservoir,McPhee,Reservoir,McPhee Dam,369,McPhee,0071-Dolores Project,7-Upper Colorado Basin,UCB,Instream Storage,"381,200","1,983",410,Mcphee Reservoir and Dam,Upper Colorado Basin,Mcphee,Mcphee,Y,569,3/20/84,12/16/25,15248,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Mead,Mead,Lake Mead,Hoover Dam,,,TRUE,220,Reservoirs,Lake Mead,Mead,Reservoir,Hoover Dam,265,Hoover,0045-Boulder Canyon Project-Hoover Division,8-Lower Colorado Basin,LCB,Instream Storage,"30,167,000","1,935",3514,Lake Mead Hoover Dam and Powerplant,Lower Colorado Basin,Mead,Hoover,Y,6124,5/28/37,12/16/25,32346,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Meeks Cabin,Meeks Cabin,Meeks Cabin Reservoir,Meeks Cabin Dam,,,FALSE,272,Reservoirs,Meeks Cabin Reservoir,Meeks Cabin,Reservoir,Meeks Cabin Dam,372,Meeks Cabin,0145-Lyman Project,7-Upper Colorado Basin,UCB,Instream Storage,"32,470","1,971",411,Meeks Cabin Reservoir and Dam,Upper Colorado Basin,Meeks Cabin,Meeks Cabin,Y,574,5/9/73,12/16/25,19216,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Millerton,Millerton,Millerton Lake,Friant Dam,,,TRUE,279,Reservoirs,Millerton Lake,Millerton,Reservoir,Friant Dam,211,Friant,1785-Central Valley Project-Friant Division,10-California-Great Basin,CGB,Instream Storage,"520,500","1,942",413,Millerton Lake and Friant Dam,California-Great Basin,Millerton,Friant,Y,10807,2/22/44,12/16/25,29885,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Minatare,Minatare,Lake Minatare,Minatare Dam,,,FALSE,222,Reservoirs,Lake Minatare,Minatare,Reservoir,Minatare Dam,381,Minatare,0020-North Platte Project,5-Missouri Basin,MB/ART,Conveyance (used for water conveyance),"58,795","1,915",399,Lake Minatare and Dam,Missouri Basin,Minatare,Minatare,Y,541,9/30/90,12/16/25,12865,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Mohave,Mohave,Lake Mohave,Davis Dam,,,TRUE,223,Reservoirs,Lake Mohave,Mohave,Reservoir,Davis Dam,132,Davis,0351-Parker-Davis Project,8-Lower Colorado Basin,LCB,Instream Storage,1887167,1950,3513,Lake Mohave Davis Dam and Powerplant,Lower Colorado Basin,Mohave,Mohave,Y,6134,2/2/50,12/16/25,27713,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Moon,Moon,Moon Lake,Moon Lake Dam,,,FALSE,282,Reservoirs,Moon Lake,Moon,Reservoir,Moon Lake Dam,387,Moon Lake,0209-Moon Lake Project,7-Upper Colorado Basin,UCB,Instream Storage,"53,633","1,938",416,Moon Lake Reservoir and Dam,Upper Colorado Basin,Moon Lake,Moon Lake,Y,587,10/31/74,12/16/25,18676,OK,OK,OK,TRUE,TRUE,RISE Location is Moon Lake Reservoir
Include,Include,Group A,,Morrow Point,Morrow Point,Morrow Point Reservoir,Morrow Point Dam,,,FALSE,284,Reservoirs,Morrow Point Reservoir,Morrow Point,Reservoir,Morrow Point Dam,390,Morrow Point,0622-Colorado River Storage Project-Gunnison Division-Wayne M. Aspinall Unit,7-Upper Colorado Basin,UCB,Instream Storage,"117,190","1,968",417,Morrow Point Reservoir Dam and Powerplant,Upper Colorado Basin,Morrow Point,Morrow Point,Y,592,12/1/70,12/16/25,20106,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Nambe Falls,Nambe Falls,Nambe Falls Reservoir,Nambe Falls Dam,,,FALSE,288,Reservoirs,Nambe Falls Reservoir,Nambe Falls,Reservoir,Nambe Falls Dam,399,Nambe Falls,0465-San Juan-Chama Project,7-Upper Colorado Basin,UCB,Instream Storage,"1,729","1,976",3511,Nambe Falls Reservoir and Dam ,Upper Colorado Basin,Nambe Falls,Nambe Falls,Y,6113,12/31/74,12/16/25,18615,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Natoma,Natoma,Lake Natoma,Nimbus Dam,,,FALSE,224,Reservoirs,Lake Natoma,Natoma,Reservoir,Nimbus Dam,414,Nimbus,0859-Central Valley Project-American River Division-Auburn-Folsom South Unit,10-California-Great Basin,CGB,Instream Diversion (created by a diversion dam),8760,1955,422,Lake Natoma Nimbus Dam and Powerplant,California-Great Basin,Natoma,Natoma,Y,10819,10/1/75,12/16/25,18341,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Navajo,Navajo,Navajo Reservoir,Navajo Dam,,,TRUE,289,Reservoirs,Navajo Reservoir,Navajo,Reservoir,Navajo Dam,401,Navajo,0711-Colorado River Storage Project-San Juan Division-Navajo Unit,7-Upper Colorado Basin,UCB,Instream Storage,"1,713,900","1,963",423,Navajo Reservoir and Dam,Upper Colorado Basin,Navajo,Navajo,Y,613,7/1/62,12/16/25,23181,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Nelson,Nelson,Nelson Reservoir,Nelson Dikes,,,FALSE,290,Reservoirs,Nelson Reservoir,Nelson,Reservoir,Nelson Dikes,402,Nelson Dikes,0015-Milk River Project,5-Missouri Basin,MB/ART,Offstream Storage,"78,950","1,922",424,Nelson Reservoir and Nelson Dikes,Missouri Basin,Nelson,#N/A,Y,618,10/31/46,12/16/25,16074,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,New Melones,New Melones,New Melones Lake,New Melones Dam,,,TRUE,292,Reservoirs,New Melones Lake,New Melones,Reservoir,New Melones Dam,410,New Melones,0881-Central Valley Project-East Side Division-New Melones Unit,10-California-Great Basin,CGB,Instream Storage,2400000,1979,3204,New Melones Lake Dam and Powerplant,California-Great Basin,New Melones,New Melones,Y,10843,10/1/43,12/16/25,30020,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Newton,Newton,Newton Reservoir,Newton Dam,,,FALSE,294,Reservoirs,Newton Reservoir,Newton,Reservoir,Newton Dam,413,Newton,0292-Newton Project,7-Upper Colorado Basin,UCB,Instream Storage,"5,594","1,946",425,Newton Reservoir and Dam,Upper Colorado Basin,Newton,Newton,Y,623,1/31/74,12/16/25,18949,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Pactola,Pactola,Pactola Reservoir,Pactola Dam,,,FALSE,316,Reservoirs,Pactola Reservoir,Pactola,Reservoir,Pactola Dam,447,Pactola,0494-Pick-Sloan Missouri Basin Program-Cheyenne Division-Rapid Valley Unit,5-Missouri Basin,MB/ART,Instream Storage,"99,029","1,956",444,Pactola Reservoir and Dam,Missouri Basin,Pactola,Pactola,Y,674,10/1/55,12/16/25,25646,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Paonia,Paonia,Paonia Reservoir,Paonia Dam,,,FALSE,318,Reservoirs,Paonia Reservoir,Paonia,Reservoir,Paonia Dam,453,Paonia,0551-Paonia Project,7-Upper Colorado Basin,UCB,Instream Storage,15522,1962,431,Paonia Reservoir and Dam,Upper Colorado Basin,Paonia,Paonia,Y,4827,10/25/74,12/16/25,18682,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Pathfinder,Pathfinder,Pathfinder Reservoir,Pathfinder Dam,,,TRUE,321,Reservoirs,Pathfinder Reservoir,Pathfinder,Reservoir,Pathfinder Dam,458,Pathfinder,0020-North Platte Project,7-Upper Colorado Basin,MB/ART,Instream Storage,1070185,1909,433,Pathfinder Reservoir and Dam,Missouri Basin,Pathfinder,Pathfinder,Y,644,10/1/45,12/16/25,29301,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Pilot Butte,Pilot Butte,Pilot Butte Reservoir,Pilot Butte Dam,,,FALSE,326,Reservoirs,Pilot Butte Reservoir,Pilot Butte,Reservoir,Pilot Butte Dam,464,Pilot Butte,1236-Pick-Sloan Missouri Basin Program-Wind Division-Riverton Unit,7-Upper Colorado Basin,MB/ART,Offstream Storage,33721,1926,435,Pilot Butte Reservoir and Dam,Missouri Basin,Pilot Butte,Pilot Butte,Y,648,10/31/49,12/16/25,21119,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Pineview,Pineview,Pineview Reservoir,Pineview Dam,,,FALSE,327,Reservoirs,Pineview Reservoir,Pineview,Reservoir,Pineview Dam,468,Pineview,0526-Weber Basin Project,7-Upper Colorado Basin,UCB,Instream Storage,110150,1936,437,Pineview Reservoir Dam and Powerplant,Upper Colorado Basin,Pineview,Pineview,Y,652,12/1/77,12/16/25,17549,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Pinewood,Pinewood,Pinewood Lake,Rattlesnake Dam,,,FALSE,328,Reservoirs,Pinewood Lake,Pinewood,Reservoir,Rattlesnake Dam,489,Rattlesnake,0245-Colorado-Big Thompson Project,7-Upper Colorado Basin,MB/ART,Conveyance (used for water conveyance),2104,1952,438,Pinewood Reservoir and Rattlesnake Dam ,Missouri Basin,Pinewood,Rattlesnake,Y,657,5/1/86,12/16/25,11619,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Pishkun,Pishkun,Pishkun Reservoir,Pishkun Dikes,,,FALSE,330,Reservoirs,Pishkun Reservoir,Pishkun,Reservoir,Pishkun Dikes,470,Pishkun Dikes,0028-Sun River Project,5-Missouri Basin,MB/ART,Offstream Storage,46694,1940,443,Pishkun Reservoir and Dikes,Missouri Basin,Pishkun,#N/A,Y,670,10/31/89,12/16/25,12213,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Powell,Powell,Lake Powell,Glen Canyon Dam,,,TRUE,229,Reservoirs,Lake Powell,Powell,Reservoir,Glen Canyon Dam,223,Glen Canyon,0557-Colorado River Storage Project-Middle River Division-Glen Canyon Unit,8-Lower Colorado Basin,UCB,Instream Storage,"26,215,000","1,963",393,Lake Powell Glen Canyon Dam and Powerplant,Upper Colorado Basin,Powell,Powell,Y,509,6/28/63,12/16/25,22819,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Pueblo,Pueblo,Pueblo Reservoir,Pueblo Dam,,,TRUE,338,Reservoirs,Pueblo Reservoir,Pueblo,Reservoir,Pueblo Dam,485,Pueblo,0382-Fryingpan-Arkansas Project,7-Upper Colorado Basin,MB/ART,Instream Storage,338374,1975,445,Pueblo Reservoir and Dam,Arkansas-Rio Grande-Texas-Gulf,Pueblo,Pueblo,Y,681,5/15/74,12/16/25,18838,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Red Fleet,Red Fleet,Red Fleet Reservoir,Red Fleet Dam,,,FALSE,345,Reservoirs,Red Fleet Reservoir,Red Fleet,Reservoir,Red Fleet Dam,498,Red Fleet,0450-Central Utah Project-Initial Division-Jensen Unit,7-Upper Colorado Basin,UCB,Instream Storage,26000,1980,447,Red Fleet Reservoir and Dam,Upper Colorado Basin,Red Fleet,Red Fleet,Y,685,5/1/80,12/12/25,16665,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Ridgway,Ridgway,Ridgway Reservoir,Ridgway Dam,,,FALSE,347,Reservoirs,Ridgway Reservoir,Ridgway,Reservoir,Ridgway Dam,503,Ridgway,0894-Dallas Creek Project,7-Upper Colorado Basin,UCB,Instream Storage,84410,1987,448,Ridgway Reservoir and Dam,Upper Colorado Basin,Ridgway,Ridgway,Y,4834,10/20/86,12/16/25,14304,OK,OK,OK,TRUE,FALSE,
Include,Include,Group A,,Rockport,Rockport,Rockport Lake,Wanship Dam,,,FALSE,352,Reservoirs,Rockport Lake,Rockport,Reservoir,Wanship Dam,627,Wanship,0526-Weber Basin Project,7-Upper Colorado Basin,UCB,Instream Storage,62120,1957,453,Rockport Reservoir and Wanship Dam,Upper Colorado Basin,Rockport,Wanship,Y,706,10/1/68,12/16/25,20897,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Ruedi,Ruedi,Ruedi Reservoir,Ruedi Dam,,,FALSE,355,Reservoirs,Ruedi Reservoir,Ruedi,Reservoir,Ruedi Dam,513,Ruedi,0382-Fryingpan-Arkansas Project,7-Upper Colorado Basin,MB/ART,Instream Storage,102373,1968,456,Ruedi Reservoir and Dam ,Upper Colorado Basin,Ruedi,Ruedi,Y,711,4/1/69,12/16/25,20804,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Scofield,Scofield,Scofield Reservoir,Scofield Dam,,,FALSE,369,Reservoirs,Scofield Reservoir,Scofield,Reservoir,Scofield Dam,528,Scofield,0132-Scofield Project,7-Upper Colorado Basin,UCB,Instream Storage,73600,1946,466,Scofield Reservoir and Dam,Upper Colorado Basin,Scofield,Scofield,Y,727,10/31/74,12/16/25,18676,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Seminoe,Seminoe,Seminoe Reservoir,Seminoe Dam,,,TRUE,372,Reservoirs,Seminoe Reservoir,Seminoe,Reservoir,Seminoe Dam,536,Seminoe,0144-Kendrick Project,7-Upper Colorado Basin,MB/ART,Instream Storage,1017273,1938,467,Seminoe Reservoir Dam and Powerplant,Missouri Basin,Seminoe,Seminoe,Y,732,10/1/45,12/16/25,29301,OK,OK,OK,TRUE,TRUE,
Include,Include,Group A,,Shadehill,Shadehill,Shadehill Reservoir,Shadehill Dam,,,TRUE,374,Reservoirs,Shadehill Reservoir,Shadehill,Reservoir,Shadehill Dam,540,Shadehill,0276-Pick-Sloan Missouri Basin Program-Grand Division-Shadehill Unit,5-Missouri Basin,MB/ART,Instream Storage,350176,1951,476,Shadehill Reservoir and Dam,Missouri Basin,Shadehill,Shadehill,Y,748,10/1/51,12/16/25,27107,OK,OK,OK,TRUE,TRUE,
