SiteName,Lat,Lon,State,DoiRegion,Huc6,DataUnits,DataValue,DataDate,DateQueried,DataDateMax,DataDateP90,DataDateP75,DataDateP50,DataDateP25,DataDateP10,DataDateMin,DataDateAvg,DataValuePctMdn,DataValuePctAvg,StatsPeriod,MaxCapacity,PctFull,TeacupUrl,DataUrl,Comment
Swanson Lake (Trenton Dam),40.1614,-101.0631,NE,Missouri Basin,102500,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,244362,,,,
Thief Valley Reservoir (Thief Valley Dam),45.012996,-117.7810764,OR,Columbia-Pacific Northwest,170502,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,13307,,,,
Tom Steed Reservoir (Mountain Park Dam),34.7386,-98.9875,OK,Arkansas-Rio Grande-Texas Gulf,111203,af,78034,02/03/2026,02/04/2026,98216,97092.5,90534,76672.05,64296.7,47195.060000000005,21857,74078.74333333333,1.0177633179235457,1.053392599397497,10/1/1990 - 9/30/2020,119051,0.6554669847376334,,,
Unity Reservoir (Unity Dam),44.5042,-118.1806,OR,Columbia-Pacific Northwest,170502,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,25500,,,,
Warm Springs Reservoir (Warm Springs Dam),43.58505,-118.2092857,OR,Columbia-Pacific Northwest,170501,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,169714,,,,
Lake Thunderbird (Norman Dam),35.2211,-97.2192,OK,Arkansas-Rio Grande-Texas Gulf,110902,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,172718,,,,
Crawford Reservoir (Crawford Dam),38.68294,-107.60285,CO,Upper Colorado Basin,140200,af,2408.94,02/03/2026,02/04/2026,10136,7792.4,6661,5714,3963.5,1940.0000000000005,1192,5333.733333333334,0.42158557927896395,0.45164237682173836,10/1/1990 - 9/30/2020,14395,0.16734560611323376,,,
Clear Lake Reservoir (Clear Lake Dam),41.9257,-121.0757,CA,California-Great Basin,180102,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,507252,,,,
Lahontan Reservoir (Lahontan Dam),39.4622,-119.0667,NV,California-Great Basin,160502,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,319800,,,,
#NAME?,48.0022280750001,-106.417987085,MT,Missouri Basin,100401,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,18463000,,,,
Agate Reservoir (Agate Dam),42.415,-122.77222,OR,Columbia-Pacific Northwest,171003,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,4780,,,,
American Falls Reservoir (American Falls Dam),42.77916,-112.87917,ID,Columbia-Pacific Northwest,170402,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,1672590,,,,
Billy Clapp Lake (Pinto Dam),47.44805556,-119.2544444,WA,Columbia-Pacific Northwest,170200,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,64200,,,,
Conconully Lake (Salmon Lake Dam),48.5585374,-119.745,WA,Columbia-Pacific Northwest,170200,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,15700,,,,
Cle Elum Lake (Cle Elum Dam),47.24555556,-121.0733333,WA,Columbia-Pacific Northwest,170300,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,705500,,,,
Cold Springs Reservoir (Cold Springs Dam),45.86,-119.17083,OR,Columbia-Pacific Northwest,170701,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,39260,,,,
Crane Prairie Reservoir (Crane Prairie Dam),43.75513542,-121.7850123,OR,Columbia-Pacific Northwest,170703,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,59724,,,,
Crescent Lake (Crescent Lake Dam),43.501664,-121.973481,OR,California-Great Basin,170703,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,,,,,
Emigrant Reservoir (Emigrant Dam),42.16129526000001,-122.6053697,OR,Columbia-Pacific Northwest,171003,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,40500,,,,
Black Canyon Reservoir (Black Canyon Diversion Dam),43.93049931,-116.4371049,ID,Columbia-Pacific Northwest,170501,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,29822,,,,
Fish Lake (Fish Lake Dam),42.37813811,-122.3479876,OR,Columbia-Pacific Northwest,171003,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,7836,,,,
Fourmile Lake (Fourmile Lake Dam),42.45592034000001,-122.2434008,OR,California-Great Basin,180102,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,15600,,,,
Grassy Lake (Grassy Lake Dam),44.12965909,-110.8193888,WY,Upper Colorado Basin,170402,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,15452,,,,
Haystack Reservoir (Haystack Dam),44.49943634,-121.1544407,OR,Columbia-Pacific Northwest,170703,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,5650,,,,
Hungry Horse Reservoir (Hungry Horse Dam),48.34222222,-114.0188889,MT,Columbia-Pacific Northwest,170102,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,3467179,,,,
Howard Prairie Reservoir (Howard Prairie Dam),42.21663259000001,-122.3775311,OR,Columbia-Pacific Northwest,180102,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,62100,,,,
Hyatt Reservoir (Hyatt Dam),42.17222,-122.46667,OR,Columbia-Pacific Northwest,180102,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,16200,,,,
Island Park Reservoir (Island Park Dam),44.41893154,-111.3984276,ID,Columbia-Pacific Northwest,170402,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,135585,,,,
Jackson Lake (Jackson Lake Dam),43.8575325,-110.5897446,WY,Upper Colorado Basin,170401,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,847000,,,,
Kachess Lake (Kachess Dam),47.26472222,-121.2044444,WA,Columbia-Pacific Northwest,170300,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,239000,,,,
Keechelus Lake (Keechelus Dam),47.32222222,-121.3388889,WA,Columbia-Pacific Northwest,170300,,,,02/04/2026,,,,,,,,,,,10/1/1990 - 9/30/2020,158000,,,,
