SiteName,Lat,Lon,State,DoiRegion,Huc6,DataUnits,DataValue,DataDate,DateQueried,DataDateMax,DataDateP90,DataDateP75,DataDateP50,DataDateP25,DataDateP10,DataDateMin,DataDateAvg,DataValuePctMdn,DataValuePctAvg,StatsPeriod,MaxCapacity,ActiveCapacity,PctFull,TeacupUrl,DataUrl,Comment
Flatiron Reservoir (Flatiron Dam),40.365,-105.2361,CO,Upper Colorado Basin,101900,af,,,04/10/1997,700.37,656.2841,637.05425,583.4655,504.859,443.9473,302.205,562.8802222222222,,,10/1/1990 - 9/30/2020,730,418,,,,
Folsom Lake (Folsom Dam),38.683,-121.183,CA,California-Great Basin,180201,af,481978,04/10/1997,04/10/1997,803902,760755.5,711202,679698,615567.5,490620.7,423478,653971.9,0.7091061030045697,0.7370010852148234,10/1/1990 - 9/30/2020,977000,894000,0.4933244626407369,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/334?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Fresno Reservoir (Fresno Dam),48.6083,-109.9458,MT,Missouri Basin,100500,af,100749,04/10/1997,04/10/1997,108542,100838.1,82794.75,73387.35,56230.8,31458.9,4288,68399.77,1.3728387794354202,1.472943549371584,10/1/1990 - 9/30/2020,91746,91588,1.0981296187299718,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/337?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Fruitgrowers Reservoir (Fruitgrowers Dam),38.82675,-107.9542778,CO,Upper Colorado Basin,140200,af,,,04/10/1997,4911,4832.8,3764.5,3600,3431.5,2870.2000000000003,0.1,3579.426315789474,,,10/1/1990 - 9/30/2020,4030,4025,,,,
Gibson Reservoir (Gibson Dam),47.6008,-112.7617,MT,Missouri Basin,100301,af,35547,04/10/1997,04/10/1997,73604,60258.89000000001,52936,41020,25665.25,21648,11729,40997.816666666666,0.8665772793759142,0.8670461719709465,10/1/1990 - 9/30/2020,98688,98688,0.3601957684824903,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/342?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Glendo Reservoir (Glendo Dam),42.4772,-104.9506,WY,Upper Colorado Basin,101800,af,500328,04/10/1997,04/10/1997,518971,489014.3,434895,391303,360954,349391,322028,402057.9666666667,1.2786204041369476,1.2444175752766662,10/1/1990 - 9/30/2020,763039,711466,0.6557043611139143,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/345?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Lake Granby (Granby Dam),40.182,-105.8711,CO,Upper Colorado Basin,140100,af,424948,04/10/1997,04/10/1997,482646,434524.4,409084.25,339539.5,252813.5,190395.1,92234.3,325049.71,1.251542162252109,1.307332346181758,10/1/1990 - 9/30/2020,539758,465568,0.7872935648938969,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/351?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Green Mountain Reservoir (Green Mountain Dam),39.8789,-106.3133,CO,Upper Colorado Basin,140100,af,65146,04/10/1997,04/10/1997,97677.8,72574.2,70041.8,65146,62515,57658.100000000006,36406.3,66000.86896551723,1,0.987047610449434,10/1/1990 - 9/30/2020,153639,112794,0.4240199428530516,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/353?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
Guernsey Reservoir (Guernsey Dam),42.2886,-104.7625,WY,Upper Colorado Basin,101800,af,,,04/10/1997,29817.1,29354.4,26819.3,21416.3,17058.25,6982.56,0,19915.296363636364,,,10/1/1990 - 9/30/2020,45612,45612,,,,
Heron Reservoir (Heron Dam),36.6973,-106.6992,NM,Upper Colorado Basin,130201,af,279260,04/10/1997,04/10/1997,365446,342559.5,306791.25,235074,118538,85553.1,60159,214947.55666666667,1.1879663425134213,1.2992006251695472,10/1/1990 - 9/30/2020,428360,400034,0.6519282846204127,,https://api.wwdh.internetofwater.app/collections/rise-edr/locations/365?parameter-name=Storage&datetime=1997-04-10/1997-04-11&f=csv,
